File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
u8g2_fonts.o,29.903498%,12488,0,0,12488,0,0
tasks.o,8.479203%,3541,800,3498,43,0,800
app_oled.o,4.453917%,1860,190,1720,131,9,181
u8g2_font.o,4.147410%,1732,0,1732,0,0,0
app_levelconfig.o,3.699624%,1545,65,1470,15,60,5
app_gameprocess.o,3.474534%,1451,80,1340,36,75,5
driver_ws2812b.o,3.318886%,1386,5711,1386,0,0,5711
queue.o,2.447259%,1022,64,1002,20,0,64
app_keys.o,2.284428%,954,1,954,0,0,1
timers.o,2.248509%,939,60,918,21,0,60
port.o,2.195829%,917,9,872,41,4,5
app_fourlightsgamep.o,2.073705%,866,65,806,0,60,5
oled.o,1.862982%,778,1152,778,0,0,1152
mc_w.l,1.858193%,776,4,772,0,4,0
u8x8_byte.o,1.733675%,724,0,724,0,0,0
heap_4.o,1.590000%,664,76828,626,38,0,76828
event_groups.o,1.582816%,661,0,634,27,0,0
i2c1.o,1.436747%,600,0,600,0,0,0
gd32f4xx_usart.o,1.417591%,592,0,592,0,0,0
usart0.o,1.350542%,564,1028,564,0,0,1028
system_gd32f4xx.o,1.278705%,534,4,530,0,4,0
printf3.o,1.249970%,522,0,522,0,0,0
main.o,1.249970%,522,184,522,0,0,184
exti.o,1.125452%,470,0,470,0,0,0
u8g2_hvline.o,1.115874%,466,0,466,0,0,0
u8x8_cad.o,1.101506%,460,1,460,0,0,1
gd32f4xx_dma.o,1.101506%,460,0,460,0,0,0
startup_gd32f407_427.o,1.024880%,428,1024,36,392,0,1024
spi1.o,0.909940%,380,0,380,0,0,0
spi0.o,0.871627%,364,0,364,0,0,0
u8g2_setup.o,0.737530%,308,0,296,12,0,0
gd32f4xx_rcu.o,0.689639%,288,0,280,8,0,0
gd32f4xx_gpio.o,0.684850%,286,0,286,0,0,0
bsp_keys.o,0.668087%,279,5,274,0,5,0
u8x8_display.o,0.474127%,198,0,198,0,0,0
gd32f4xx_misc.o,0.431024%,180,0,180,0,0,0
systick.o,0.407078%,170,0,170,0,0,0
u8g2_ll_hvline.o,0.383133%,160,0,160,0,0,0
list.o,0.359187%,150,0,150,0,0,0
u8g2_intersection.o,0.316084%,132,0,132,0,0,0
u8g2_buffer.o,0.306506%,128,0,128,0,0,0
app_countdown.o,0.268193%,112,4,112,0,0,4
app_ws2812.o,0.210723%,88,0,88,0,0,0
gd32f4xx_spi.o,0.191566%,80,0,80,0,0,0
u8g2_d_setup.o,0.167621%,70,0,70,0,0,0
delay.o,0.129307%,54,0,54,0,0,0
init.o,0.114940%,48,0,48,0,0,0
u8x8_setup.o,0.114940%,48,0,48,0,0,0
uidiv.o,0.105361%,44,0,44,0,0,0
puts.o,0.086205%,36,0,36,0,0,0
memseta.o,0.086205%,36,0,36,0,0,0
memcpya.o,0.086205%,36,0,36,0,0,0
handlers.o,0.071837%,30,0,30,0,0,0
gd32f4xx_exti.o,0.071837%,30,0,30,0,0,0
u8x8_8x8.o,0.062259%,26,0,26,0,0,0
u8g2_d_memory.o,0.038313%,16,1024,16,0,0,1024
spi.o,0.033524%,14,0,14,0,0,0
gd32f4xx_it.o,0.028735%,12,0,12,0,0,0
entry9a.o,0.019157%,8,0,8,0,0,0
entry2.o,0.019157%,8,0,8,0,0,0
u8x8_gpio.o,0.019157%,8,0,8,0,0,0
stdout.o,0.009578%,4,4,0,0,4,0
entry5.o,0.009578%,4,0,4,0,0,0
i2c.o,0.009578%,4,0,4,0,0,0
